DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.894513937059"
2,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01971159196"
2,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.984702483696"
2,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.05472070022"
2,TnP,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01830978212"
2,TnP,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02111340179"
2,TnP,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01474561665"
2,TnP,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02467756726"
2,TnP,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01958631631"
2,TnP,up_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0198368676"
2,TnP,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01799765545"
2,TnP,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02142552847"
2,TnP,down_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.984702483696"
2,TnP,up_ALL,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.05472070022"
2,TnP,down_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01646178769"
2,TnP,up_mescales,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02296139622"
2,TnP,down_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01933878573"
2,TnP,up_hdamp,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02008439819"
2,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.9852895266"
2,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.05413365732"
2,TnP,down_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0184178479"
2,TnP,up_psscale,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02100533602"
2,TnP,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0186510684"
2,TnP,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02077211552"
2,TnP,down_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01768431761"
2,TnP,up_topmass,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02173886631"
2,TnP,down_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01739928355"
2,TnP,up_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02202390037"
2,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.973178643943"
2,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.93609653831"
2,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01026074958"
2,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.971983294314"
2,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.974373993572"
2,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.969685319665"
2,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.976671968221"
2,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.97268748821"
2,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.973669799676"
2,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.971200284077"
2,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.975157003809"
2,TnP,down_ALL,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.93609653831"
2,TnP,up_ALL,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.01026074958"
2,TnP,down_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.971851492529"
2,TnP,up_mescales,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.974505795357"
