DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29111"
1,TnPH,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.32696"
1,TnPH,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30998"
1,TnPH,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.31129"
1,TnPH,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30881"
1,TnPH,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.31368"
1,TnPH,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30926"
1,TnPH,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30682"
1,TnPH,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3095"
1,TnPH,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30751"
1,TnPH,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30513"
1,TnPH,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.31147"
1,TnPH,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30773"
1,TnPH,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30773"
1,TnPH,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30793"
1,TnPH,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3089"
1,TnPH,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30852"
1,TnPH,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30873"
1,TnPH,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.33564"
1,TnPH,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3231"
1,TnPH,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.31609"
1,TnPH,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.32398"
1,TnPH,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.31029"
1,TnPH,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.28729"
1,TnPL,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29474"
1,TnPL,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.28454"
1,TnPL,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30495"
