ComCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPL,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21565"
1,TnPL,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21664"
1,TnPL,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21405"
1,TnPL,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2072"
1,TnPL,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21499"
1,TnPL,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21073"
1,TnPL,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21305"
1,TnPL,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21659"
1,TnPL,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21091"
1,TnPH,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23093"
1,TnPH,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.16728"
1,TnPH,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.29459"
1,TnPH,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.20378"
1,TnPH,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.25809"
1,TnPH,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.2341"
1,TnPH,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23957"
1,TnPH,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23059"
1,TnPH,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23234"
1,TnPH,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.22874"
1,TnPH,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.2327"
1,TnPH,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.22955"
1,TnPH,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23189"
1,TnPH,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23162"
1,TnPH,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.22822"
1,TnPH,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23219"
1,TnPH,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.23219"
