cMVA;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TagCount,up_flavFrac,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.893" 
1,TagCount,down_flavFrac,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.902" 
1,TagCount,up_backg,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.934" 
1,TagCount,down_backg,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.864" 
1,TagCount,up_jer,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.903" 
1,TagCount,down_jer,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.898" 
1,TagCount,up_jes,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.911" 
1,TagCount,down_jes,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.895" 
1,TagCount,up_scale1,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.897" 
1,TagCount,down_scale1,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.899" 
1,TagCount,up_ps,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.896" 
1,TagCount,down_ps,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.904" 
1,TagCount,up,0, 0.000,2.400,30.000,50.000,0.000,1.000,"0.943" 
1,TagCount,down,0,0.000,2.400,30.000,50.000,0.000,1.000,"0.852" 
1,TagCount,central,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.872" 
1,TagCount,up_statistic,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.886" 
1,TagCount,down_statistic,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.858" 
1,TagCount,up_flavFrac,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.869" 
1,TagCount,down_flavFrac,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.875" 
1,TagCount,up_backg,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.883" 
1,TagCount,down_backg,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.861" 
1,TagCount,up_jer,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.875" 
1,TagCount,down_jer,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.871" 
1,TagCount,up_jes,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.878" 
1,TagCount,down_jes,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.872" 
1,TagCount,up_scale1,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.871" 
1,TagCount,down_scale1,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.873" 
1,TagCount,up_ps,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.859" 
1,TagCount,down_ps,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.875" 
1,TagCount,up,0, 0.000,2.400,50.000,70.000,0.000,1.000,"0.890" 
1,TagCount,down,0,0.000,2.400,50.000,70.000,0.000,1.000,"0.853" 
1,TagCount,central,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.886" 
1,TagCount,up_statistic,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.897" 
1,TagCount,down_statistic,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.875" 
1,TagCount,up_flavFrac,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.883" 
1,TagCount,down_flavFrac,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.889" 
1,TagCount,up_backg,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.893" 
1,TagCount,down_backg,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.879" 
1,TagCount,up_jer,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.888" 
1,TagCount,down_jer,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.885" 
1,TagCount,up_jes,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.889" 
1,TagCount,down_jes,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.888" 
1,TagCount,up_scale1,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.885" 
1,TagCount,down_scale1,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.888" 
1,TagCount,up_ps,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.885" 
1,TagCount,down_ps,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.889" 
1,TagCount,up,0, 0.000,2.400,70.000,100.000,0.000,1.000,"0.900" 
1,TagCount,down,0,0.000,2.400,70.000,100.000,0.000,1.000,"0.872" 
1,TagCount,central,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.873" 
1,TagCount,up_statistic,0,0.000,2.400,100.000,140.000,0.000,1.000,"0.887" 
