DeepFlavourC;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,up_tune,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.07298218153"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.970955510084"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.947675281029"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.994235739138"
0,TnP,down_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.970701724401"
0,TnP,up_jer,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.971209295766"
0,TnP,down_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.968401525195"
0,TnP,up_jes,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.973509494972"
0,TnP,down_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.970934789021"
0,TnP,up_bdecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.970976231146"
0,TnP,down_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.963740451627"
0,TnP,up_bkg,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.97817056854"
0,TnP,down_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.970852224125"
0,TnP,up_isr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.971058796043"
0,TnP,down_fsr,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.970184053779"
