DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0415"
1,TnPH,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0747"
1,TnPH,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0645"
1,TnPH,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0289"
1,TnPH,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.007"
1,TnPH,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.104"
1,TnPH,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0345"
1,TnPH,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0521"
1,TnPL,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1748"
1,TnPL,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1152"
1,TnPL,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2345"
1,TnPL,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1432"
1,TnPL,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.2064"
1,TnPL,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1651"
1,TnPL,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1487"
1,TnPL,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1622"
1,TnPL,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1568"
1,TnPL,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1612"
1,TnPL,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1613"
1,TnPL,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1622"
1,TnPL,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1608"
1,TnPL,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1609"
1,TnPL,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1631"
1,TnPL,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1754"
1,TnPL,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.1754"
